id;total_service_orders;total_volume;total_weight;total_finished_service_orders;days_to_start;days_to_accept;total_pickup_problems;total_delivery_problems
464744;10;0.40599999999999997;78.614;10;0 days 00:07:46;0 days 00:09:04;0;0
464786;6;0.09999999999999999;0.0;0;;0 days 00:00:01;0;0
464778;4;0.04;48.0;0;1 days 22:24:41;0 days 00:00:56;0;0
464734;8;0.08;6.64;8;0 days 00:40:18;0 days 02:19:43;0;0
464783;2;0.04;0.0;0;;0 days 00:00:00;0;0
464702;2;1.44;279.186;2;0 days 00:02:12;0 days 00:02:12;0;0
464777;8;0.11999999999999998;3.79;8;0 days 00:06:50;0 days 00:00:04;0;0
464360;96;11.320000000000004;1624.1999999999994;66;;;60;62
464266;51;1.0180000000000007;210.20999999999998;48;0 days 02:31:40;0 days 00:00:35;0;11
464311;6;0.22000000000000003;0.0;0;0 days 23:44:09;0 days 00:00:03;0;0
464354;60;0.6000000000000003;16.599999999999998;60;0 days 12:20:27;0 days 00:39:45;0;0
464318;24;0.9600000000000003;129.28000000000003;24;0 days 00:13:17;0 days 00:46:14;0;0
464326;10;0.060000000000000005;4.0;10;0 days 00:06:51;0 days 00:00:29;0;0
464324;4;0.0;0.0;0;;0 days 00:00:00;0;0
464269;18;0.25;32.29;18;0 days 00:17:13;0 days 00:00:04;0;0
464285;53;0.9690000000000002;113.872;53;0 days 00:00:23;0 days 00:00:09;0;3
464268;12;0.16;3.594;12;0 days 00:17:27;0 days 00:00:04;0;0
464293;44;0.4400000000000002;7.479999999999998;44;0 days 00:46:18;0 days 01:27:30;0;0
464294;8;0.08;1.3599999999999999;8;0 days 02:00:00;0 days 01:44:32;0;0
464310;8;0.08;0.0;0;0 days 07:56:53;0 days 00:00:04;8;8
464298;27;1.0800000000000003;97.18;27;0 days 01:23:40;0 days 00:46:30;3;3
464271;13;0.1;13.34;13;0 days 00:17:05;0 days 00:00:06;0;3
464283;2;0.04;11.88;2;0 days 00:12:14;0 days 00:34:02;0;2
464257;6;0.060000000000000005;3.32;6;0 days 00:42:53;0 days 01:59:33;0;0
464349;2;0.0;0.0;2;0 days 01:47:07;0 days 00:03:39;0;0
464327;8;0.04;1.8;8;0 days 01:35:47;0 days 00:00:06;0;0
464317;6;0.0;4.0;0;0 days 23:41:04;0 days 00:00:02;0;0
464322;2;0.0;0.0;2;0 days 04:56:09;0 days 00:00:08;0;0
464289;8;0.08;1.3599999999999999;8;0 days 02:09:45;0 days 00:21:42;0;0
464323;2;0.04;0.0;0;0 days 23:38:03;0 days 00:00:01;0;0
464084;42;5.1000000000000005;972.3000000000002;22;0 days 00:42:44;0 days 13:44:30;26;26
464099;62;2.2279999999999975;320.02200000000005;54;0 days 00:25:08;0 days 17:30:13;6;18
464086;38;3.8000000000000003;434.90000000000015;32;0 days 10:09:32;0 days 04:42:26;12;14
464118;61;0.6100000000000003;3.909999999999999;58;0 days 02:10:14;0 days 13:05:16;3;3
464085;24;2.459999999999999;363.50000000000006;18;0 days 03:28:02;0 days 12:42:20;6;10
464095;66;1.356;166.754;66;0 days 12:01:05;0 days 01:33:01;2;2
464140;140;1.9640000000000013;268.6919999999999;140;0 days 00:02:47;0 days 00:00:20;2;2
464109;64;0.6400000000000003;19.82000000000002;52;0 days 10:32:05;0 days 02:45:55;0;12
464121;55;0.5500000000000003;23.57000000000001;52;0 days 10:45:41;0 days 02:43:59;0;3
464115;62;0.6200000000000003;6.969999999999999;56;0 days 12:12:57;0 days 00:25:10;0;6
464076;81;2.5269999999999984;501.86600000000004;61;0 days 13:52:58;0 days 17:14:55;2;2
464057;7;0.614;128.022;7;0 days 14:08:50;0 days 17:28:22;0;0
464075;70;2.458999999999999;475.65599999999995;55;0 days 13:51:52;0 days 17:13:42;0;0
464110;60;0.6000000000000003;10.119999999999997;60;0 days 12:30:53;0 days 02:30:38;0;0
464068;13;0.276;59.626000000000005;13;0 days 13:45:00;0 days 17:21:45;0;0
464066;13;1.31;272.786;13;0 days 13:00:58;0 days 18:05:42;0;0
464129;24;0.24000000000000007;5.98;24;0 days 09:52:23;0 days 01:12:00;0;0
464058;9;1.102;211.8;9;0 days 13:27:09;0 days 17:42:38;0;0
464065;20;2.013;415.8849999999999;11;0 days 00:02:59;1 days 07:27:14;0;0
464052;11;0.502;105.39600000000002;11;0 days 14:18:43;0 days 17:26:36;0;0
464061;13;1.0130000000000001;211.92700000000002;7;0 days 13:50:18;0 days 17:41:13;0;0
464073;2;2.1;450.802;2;0 days 13:43:07;0 days 17:34:03;0;0
463426;108;3.066999999999997;253.79;108;0 days 00:52:23;0 days 00:00:11;12;108
463513;4;1.98;100.9;4;0 days 00:00:46;0 days 00:00:06;0;4
463416;30;0.8530000000000003;68.16999999999999;30;0 days 00:54:21;0 days 00:00:05;0;20
463457;7;0.028;18.779999999999998;7;0 days 00:08:47;0 days 00:00:05;0;3
463442;38;0.4980000000000001;63.768;38;0 days 00:03:22;0 days 00:00:07;0;2
463470;66;1.04;111.64000000000003;66;0 days 00:11:03;0 days 00:00:09;0;6
463413;15;0.19;13.01;15;0 days 00:01:14;0 days 00:00:08;0;3
463464;25;0.26599999999999996;47.248;25;0 days 02:30:51;0 days 00:00:30;0;3
463501;16;0.55;61.83200000000001;16;0 days 01:03:34;0 days 00:00:07;0;0
463443;8;0.45;48.739999999999995;8;0 days 00:46:00;0 days 00:00:05;0;0
463497;30;0.42600000000000016;23.814;30;0 days 00:22:08;0 days 00:00:05;0;0
463472;52;0.5560000000000003;67.24999999999999;52;0 days 00:00:38;0 days 00:00:09;0;0
463498;22;0.35000000000000003;47.754000000000005;22;0 days 01:03:59;0 days 00:00:07;0;0
463463;20;1.198;62.436000000000014;20;0 days 00:03:47;0 days 00:00:18;6;6
463493;34;1.058;82.19999999999999;34;0 days 01:04:47;0 days 00:00:06;0;0
463454;2;0.06;20.2;2;0 days 00:11:10;0 days 00:00:01;0;0
463415;4;0.042;1.86;4;0 days 00:07:27;0 days 00:00:04;0;0
463488;4;0.04;13.733999999999998;4;0 days 01:06:47;0 days 00:00:05;0;0
463429;4;0.04;4.662;4;0 days 00:36:17;0 days 00:00:04;0;0
463462;4;0.046;0.962;4;0 days 00:05:29;0 days 00:00:05;0;0
463414;2;0.006;0.56;2;0 days 00:06:53;0 days 00:00:01;0;0
463455;2;0.02;0.4;2;0 days 00:10:27;0 days 00:00:00;0;0
463481;2;0.02;8.97;2;0 days 01:09:41;0 days 00:00:01;0;0
463096;42;0.7070000000000003;155.36800000000005;42;0 days 00:15:19;0 days 00:00:07;0;6
463428;2;0.006;1.1;2;0 days 00:35:28;0 days 00:00:01;0;0
463431;6;0.08;6.196000000000001;6;0 days 00:40:18;0 days 00:00:05;0;0
463171;48;1.5340000000000003;227.55799999999996;48;0 days 00:07:41;0 days 00:00:09;0;0
463168;84;1.6179999999999999;208.96199999999996;84;0 days 00:14:50;0 days 00:00:14;0;0
463108;8;0.04;6.6;8;0 days 00:11:41;0 days 00:00:08;0;0
463103;8;0.08;9.904000000000002;8;0 days 00:16:50;0 days 00:00:05;0;0
463130;126;2.8239999999999976;242.94599999999988;126;0 days 00:02:44;0 days 00:00:18;0;0
463102;14;0.16;15.315999999999999;14;0 days 00:16:53;0 days 00:00:06;0;0
463177;6;0.060000000000000005;6.64;6;0 days 03:29:11;0 days 01:01:22;0;0
463143;26;0.7280000000000001;77.906;26;0 days 00:23:18;0 days 00:00:08;0;0
463095;14;1.23;70.33;14;0 days 00:16:09;0 days 00:00:04;0;0
463161;8;0.078;32.16;8;0 days 00:00:51;0 days 00:00:04;0;0
463080;12;0.27399999999999997;5.086;12;0 days 01:32:53;0 days 00:00:02;0;0
463112;22;0.28;37.55;22;0 days 00:05:11;0 days 00:00:05;0;0
463158;12;0.2;19.322000000000003;12;0 days 00:01:21;0 days 00:00:04;0;0
463139;2;0.02;0.084;2;0 days 00:25:05;0 days 00:00:02;0;0
463086;4;0.056;7.756;4;0 days 01:11:49;0 days 00:00:05;0;0
463169;4;0.04;2.464;4;0 days 00:01:10;0 days 00:00:16;0;0
463109;11;0.19000000000000003;25.279999999999994;11;0 days 00:12:11;0 days 00:00:04;0;0
463140;2;0.02;6.54;2;0 days 00:24:13;0 days 00:00:03;0;0
462909;41;0.4300000000000002;63.3;18;0 days 00:00:08;0 days 00:06:59;28;31
462901;30;0.3000000000000001;48.0;14;0 days 00:02:01;0 days 00:11:21;18;18
462957;157;3.8389999999999977;371.4519999999999;157;0 days 01:44:53;0 days 12:10:52;9;19
462956;70;2.456000000000001;347.61199999999997;70;0 days 12:42:14;0 days 02:17:48;3;42
462939;9;0.21000000000000002;82.2;9;0 days 00:18:51;0 days 00:00:06;0;9
462940;16;0.20400000000000001;17.328;16;2 days 00:04:46;0 days 00:00:13;0;0
462920;8;0.02;0.0;8;0 days 01:07:12;0 days 00:00:01;0;0
